provincia,localidad,direccion,margen,horario,latitud,longitud,empresa,precios,fechaRevision,fechaUltima,ventaPublico
BARCELONA,TAGAMANENT,"CARRETERA C-17 KM. 36,230",Izquierdo,L-D: 06:00-22:00,41.738111,2.266944,REPSOL,"['SP-95 1,779', 'SP-98 1,939', 'G-A 1,889', 'G-A+ 1,949', 'GLP 1,089']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TARADELL,CTRA. DE VIC/ ARBUCIES km 5.80000,Izquierdo,L-S: 07:00-22:00; D: 08:00-21:00,41.883528,2.283806,"AREA DE SERVEIS TARADELL,SL","['SP-95 1,739', 'SP-98 1,999', 'G-A 1,799', 'Gasóleo B 1,600']",18/11/2022,14/11/2022,Venta al Público
BARCELONA,TEIA CENTRE,AUTOPISTA C32 KM. 89,N,L-D: 06:00-22:00,41.493028,2.333917,GALP,"['SP-95 1,819', 'SP-98 1,979', 'G-A 1,899', 'G-A+ 1,989']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"CARRETERA C-243 KM. 10,9",Derecho,L-D: 24H,41.540861,1.990278,REPSOL,"['SP-95 1,789', 'SP-98 1,939', 'G-A 1,879', 'G-A+ 1,929']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,CARRETERA D'OLESA KM. 240,N,L-D: 24H,41.555889,1.991972,GALP,"['SP-95 1,714', 'G-A 1,729', 'G-A+ 1,799', 'GLP 1,079']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"AVENIDA DEL VALLÈS, 4",Derecho,L-S: 06:00-22:00,41.548056,2.040417,PETROCAT,"['SP-95 1,769', 'SP-98 1,919', 'G-A 1,859', 'G-A+ 1,919']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"CTRA. DE MATADEPERA km 1,750",Derecho,L-D: 24H,41.585333,2.019149,Q8,"['SP-95 1,799', 'SP-98 1,979', 'G-A 1,879', 'G-A+ 1,989']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"AVENIDA MADRID, 15",N,L-D: 24H,41.559278,2.037667,BALLENOIL,"['SP-95 1,697', 'G-A 1,799']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,CARRETERA MONTCADA KM. 666,Derecho,L-D: 24H,41.557472,2.035333,PETROLOWCOST,"['SP-95 1,699', 'G-A 1,859', 'G-A+ 1,899']",18/11/2022,15/11/2022,Venta al Público
BARCELONA,TERRASSA,"AVENIDA VALLES, 149",N,L: 06:00-23:00,41.552750,2.039944,COBASA,"['SP-95 1,749', 'G-A 1,849', 'G-A+ 1,899']",18/11/2022,17/11/2022,Venta al Público
BARCELONA,TERRASSA,"CARRETERA RUBI, DE KM. 22,500",Izquierdo,L-D: 24H,41.537444,2.027917,CAMPSA EXPRESS,"['SP-95 1,719', 'SP-98 1,869', 'G-A 1,829', 'G-A+ 1,889']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"CALLE CAMI FONT DE LES CANYES,D, 54",N,L-D: 24H,41.581556,2.032944,PETRO VALLES,"['SP-95 1,719', 'SP-98 1,869', 'G-A 1,849', 'G-A+ 1,919']",18/11/2022,14/11/2022,Venta al Público
BARCELONA,TERRASSA,"AUTOPISTA C-58 KM. 17,2",Izquierdo,L-D: 24H,41.541917,2.050500,PETROCAT DIRECTE,"['SP-95 1,679', 'G-A 1,769', 'G-A+ 1,869']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"CALLE ROMA, DE, 2",Derecho,L-D: 24H,41.533167,2.035361,REPSOL,"['SP-95 1,859', 'SP-98 2,179', 'G-A 1,759', 'G-A+ 2,079', 'Gasóleo B 1,729']",18/11/2022,17/11/2022,Venta al Público
BARCELONA,TERRASSA,"CALLE COLON, 123",Derecho,L: 06:00-23:59,41.558444,2.024278,REPSOL,"['SP-95 1,779', 'SP-98 1,929', 'G-A 1,869', 'G-A+ 1,929', 'GLP 1,099']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"CALLE COLON, 125",Izquierdo,L-S: 08:00-16:00,41.558833,2.024056,REPSOL,"['SP-95 1,779', 'SP-98 1,929', 'G-A 1,869', 'G-A+ 1,929']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"AVENIDA JAIME I, 1",N,L-D: 24H,41.569278,2.025444,PETRO VALLES,"['SP-95 1,719', 'G-A 1,849']",18/11/2022,14/11/2022,Venta al Público
BARCELONA,TERRASSA,CARRETERA CASTELLAR KM. 200,N,L-D: 24H,41.569472,2.027167,PETRO VALLES,"['SP-95 1,719', 'G-A 1,849']",18/11/2022,14/11/2022,Venta al Público
BARCELONA,TERRASSA,"CARRER CR. BP-1503 DE RUBI A TERRASSA, 325",Derecho,L-D: 24H,41.534472,2.033778,PETRO7 - PETROLIS INDEPENDENTS,"['SP-95 1,738', 'G-A 1,848', 'G-A+ 1,908']",18/11/2022,16/11/2022,Venta al Público
BARCELONA,TERRASSA,"AVENIDA JOSEP TARRADELLAS,DE, 2",Derecho,L-D: 24H,41.570083,2.004694,ESCLATOIL,"['SP-95 1,689', 'G-A 1,799', 'G-A+ 1,849']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"AUTOPISTA C-58 KM. 17,2",Derecho,L-D: 24H,41.543139,2.050611,PETROCAT DIRECTE,"['SP-95 1,679', 'G-A 1,769', 'G-A+ 1,869']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"AVENIDA BEJAR, 373",Derecho,L-D: 24H,41.580472,2.023139,OCTOPO,"['SP-95 1,679', 'SP-98 1,849', 'G-A 1,769', 'G-A+ 1,869']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"CALLE PARDO BAZAN, 2",N,L-D: 24H,41.575333,2.007000,BP,"['SP-95 1,809', 'SP-98 1,979', 'G-A 1,879', 'G-A+ 1,989']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,CARRETERA C-1415A KM. 20,Derecho,L-D: 06:00-22:00,41.591500,2.038222,PETROCAT,"['SP-95 1,769', 'SP-98 1,919', 'G-A 1,859', 'G-A+ 1,919']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"AVENIDA BEJAR, DE, 399",Derecho,L-D: 24H,41.581167,2.025194,PETROCAT DIRECTE,"['SP-95 1,679', 'G-A 1,769', 'G-A+ 1,869']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"CALLE RAMBLA PARE ALEGRE, S/N",Derecho,L-D: 24H,41.553389,2.007722,PETROCAT DIRECTE,"['SP-95 1,679', 'SP-98 1,929', 'G-A 1,769', 'G-A+ 1,869']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"AVENIDA VALLES, DEL, 484",Derecho,L-D: 24H,41.562361,2.034694,PETROCAT DIRECTE,"['SP-95 1,679', 'SP-98 1,929', 'G-A 1,769', 'G-A+ 1,869']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"CALLE VENUS, DE, 19",Izquierdo,L-D: 24H,41.543639,2.032778,PETROCAT DIRECTE,"['SP-95 1,719', 'G-A 1,819']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"AVENIDA TEXTIL,DEL, 34",N,L-D: 06:00-22:00,41.544639,2.025056,GALP,"['SP-95 1,689', 'SP-98 1,809', 'G-A 1,844', 'G-A+ 1,934']",18/11/2022,17/11/2022,Venta al Público
BARCELONA,TERRASSA,CARRETERA CASTELLAR KM. S/N,N,L-D: 24H,41.579944,2.035000,SUPECO,"['SP-95 1,719', 'SP-98 1,869', 'G-A 1,849', 'G-A+ 1,889']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"CALLE GUILLEM DE MUNTANYANS, 208",N,L-D: 06:00-23:59,41.553361,2.011833,BP TREVOL,"['SP-95 1,789', 'SP-98 1,931', 'G-A 1,879', 'G-A+ 1,969']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"AVENIDA SANTA EULALIA, DE, 240",Derecho,L-D: 24H,41.551722,2.025361,BENZOIL,"['SP-95 1,674', 'G-A 1,794']",18/11/2022,16/11/2022,Venta al Público
BARCELONA,TERRASSA,"COLOM ESQUINA AV TEXTIL - POL.IND. SANTA MARGARIDA 2,",N,L-D: 24H,41.545722,2.027500,Q8,"['SP-95 1,649', 'SP-98 1,729', 'G-A 1,804', 'G-A+ 1,874']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"AVENIDA 22 DE JULIOL, 269",N,L-D: 24H,41.570417,2.008444,REPSOL,"['SP-95 1,819', 'SP-98 1,979', 'G-A 1,879', 'G-A+ 1,989']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"Maestrazgo Esq.C/Matadepera,S/N",N,L-D: 24H,41.576194,2.017028,NIEVES,"['SP-95 1,789', 'SP-98 1,849', 'G-A 1,879', 'G-A+ 1,909']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TERRASSA,"CARRETERA MONTCADA, DE KM. 670",Derecho,L-D: 24H,41.557278,2.035167,HAM,"['Gas N. Compr 1,379']",18/11/2022,14/11/2022,Venta al Público
BARCELONA,TERRASSA,"CALLE COLOM, 351",Izquierdo,L-D: 06:00-22:00,41.551722,2.026500,REPSOL,"['SP-95 1,779', 'SP-98 1,929', 'G-A 1,869', 'G-A+ 1,929']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,TONA,CARRETERA C-17 KM. 50,Derecho,L-D: 06:00-22:00,41.845000,2.233278,CEPSA,"['SP-95 1,794', 'SP-98 1,926', 'G-A 1,895', 'G-A+ 1,995']",18/11/2022,18/11/2022,Venta al Público
